import_short_name,repo,cat,isML,comments
os,178,,,
sys,162,,,
re,148,,,
numpy,122,STAT,,
collections,117,,,
time,111,,,
random,94,,,
json,88,,,
math,78,,,
nltk,69,NLP,,
pickle,68,,,
argparse,67,,,
logging,62,,,
setuptools,60,,,
datetime,59,,,
codecs,58,,,
sklearn,57,ML,Y,
itertools,55,,,
subprocess,50,,,
csv,49,,,
unittest,48,,,
urllib,47,,,
string,45,,,
copy,43,,,
tensorflow,42,ML,Y,
cPickle,40,,,
operator,39,,,
pandas,35,WRANGLE,,"Not included as ML, as primarily for data wrangling"
shutil,33,,,
scipy,32,STAT,,
functools,32,,,
matplotlib,29,VIS,,
threading,29,,,
warnings,27,,,
inspect,27,,,
distutils,27,,,
hashlib,27,,,
gensim,26,NLP,,
io,24,,,
utils,23,,,
pprint,23,,,
urllib2,23,,,
six,22,,,
tempfile,22,,,
requests,22,,,
glob,22,,,
keras,21,ML,Y,
socket,21,,,
multiprocessing,20,,,
unicodedata,19,,,
gzip,19,,,
optparse,19,,,
tarfile,18,,,
xml,18,,,
zipfile,18,,,
traceback,18,,,
torch,18,ML,Y,
tqdm,17,,,
base64,16,,,
bs4,15,,,
flask,15,,,
platform,15,,,
doctest,14,,,
uuid,14,,,
yaml,14,,,
pdb,14,,,
getopt,14,,,
abc,14,,,
Queue,13,,,
model,13,,,
struct,12,,,
importlib,12,,,
models,12,LOCAL,,A search for “import models” reveals that in most cases this is an internal model being imported
Cython,12,,,
StringIO,12,,,
types,12,,,
errno,12,,,
theano,12,ML,Y,
urlparse,11,,,
textwrap,11,,,
contextlib,11,,,
spacy,11,NLP,,
gc,11,,,
tweepy,11,,,Twitter
util,10,,,
IPython,10,,,
wave,10,,,
pkg_resources,10,,,
heapq,10,,,
simplejson,9,,,
pytest,9,,,
ctypes,9,,,
mock,9,,,
librosa,9,,,"https://librosa.github.io/librosa/ - python package for music and audio analysis. Includes DSP tools for FFT, etc."
google,9,,,"Not to be confused with the “google” module on pypi (unknown author), some google packages (e.g. google.protobuf) are in google namespace"
jieba,9,NLP,,https://github.com/fxsjy/jieba - Chinese text segmentation
httplib,9,,,
imp,9,,,
HTMLParser,9,,,
pylab,8,VIS,,
getpass,8,,,
ast,8,,,
atexit,8,,,
signal,8,,,
cgi,8,,,
data,8,,,
textblob,8,NLP,,
thread,8,,,
nose,8,,,
fnmatch,8,,,
zlib,8,,,
PIL,8,,,Python Imaging Library
stat,8,,,
pyaudio,7,,,
mimetypes,7,,,
array,7,,,
sqlite3,7,,,
select,7,,,
cStringIO,7,,,
config,7,,,
configparser,7,,,
pstats,7,,,
timeit,7,,,
ConfigParser,7,,,
email,7,,,
data_utils,7,,,
h5py,7,,,
tests,6,,,
bisect,6,,,
queue,6,,,
lxml,6,,,
weakref,6,,,
redis,6,,,
decimal,6,,,
htmlentitydefs,6,,,
cProfile,6,,,
bz2,6,,,
locale,6,,,
fcntl,6,,,
sets,6,,,
shlex,6,,,
html,6,,,
tornado,6,,,
difflib,6,,,
UserDict,6,,,
hmac,5,,,
api,5,,,
text_cnn,5,LOCAL,,Is a local module (code exists in multiple repos)
Stemmer,5,LOCAL,,Is a local module. Many implementations of Stemmers.
Cookie,5,,,
tensorboardX,5,VIS,,
BaseHTTPServer,5,,,
readline,5,,,
__builtin__,5,,,
audioop,5,,,
http,5,,,
typing,5,,,
src,5,,,
urllib3,5,,,
md5,5,,,
enum,5,,,
wsgiref,5,,,
tokenizer,5,,,
exceptions,5,,,
pathlib,5,,,
django,5,,,
MySQLdb,5,,,
pkgutil,5,,,
torchtext,5,NLP,,
features,4,,,
concurrent,4,,,
binascii,4,,,
elasticsearch,4,,,
marshal,4,,,
token,4,,,
sentiment,4,,,
__main__,4,,,
shelve,4,,,
boto3,4,,,
termios,4,,,
regex,4,,,
tokenize,4,,,
scrapy,4,,,
chainer,4,,,
webbrowser,4,,,
lib,4,,,
dummy_threading,4,,,
pexpect,4,,,
dummy_thread,4,,,
ssl,4,,,
pygame,4,,,
main,4,,,
linecache,4,,,
dateutil,4,,,
unidecode,4,,,
filecmp,4,,,
data_helpers,4,,,
gevent,4,,,
search,3,,,
scikits,3,STAT,,https://www.scipy.org/scikits.html - add-on packages for SciPy
sre_constants,3,,,
botocore,3,,,
builtins,3,,,
eventlet,3,,,
flup,3,,,
speech_recognition,3,NLP,,
input_data,3,,,
smtplib,3,,,
jinja2,3,,,
settings,3,,,
BeautifulSoup,3,,,
pocketsphinx,3,,,
evaluate,3,,,
corpus,3,,,
posixpath,3,,,
datasets,3,,,
jsonschema,3,,,
data_loader,3,,,
joblib,3,,,
parser,3,,,
psutil,3,,,
psycopg2,3,,,
pyasn1,3,,,
pydoc,3,,,
pymongo,3,,,
core,3,,,
logger,3,,,
pyspark,3,,,
numbers,3,,,
keyword,3,,,
hmm,3,LOCAL,,
rdflib,3,,,
colorama,3,,,
networkx,3,,,
cnn,3,LOCAL,,Local module
resource,3,,,
cherrypy,3,,,
chardet,3,,,
code,3,,,
zmq,3,,,
tflearn,3,ML,Y,
text,3,,,
__version__,3,,,
utilities,3,,,
twisted,3,,,
unicodecsv,3,,,
tagger,3,,,
MeCab,3,NLP,,https://en.wikipedia.org/wiki/MeCab - MeCab is an open-source text segmentation library for use with text written in the Japanese language
train,3,LOCAL,,"Seems to be a local module. Rather than https://pypi.org/project/train/ (A library to build and train reinforcement learning agents in OpenAI Gym environments, 0 stars)"
pytorch_pretrained_bert,2,ML,Y,
pytz,2,,,
pysqlite2,2,,,
pywintypes,2,,,
constants,2,,,
Crypto,2,,,
misc,2,,,
cookielib,2,,,
pythainlp,2,NLP,,
stockretriever,2,,,
memcache,2,,,
copy_reg,2,,,
fileinput,2,,,
pymorphy2,2,NLP,,
mod_python,2,,,
feedparser,2,,,
KaggleWord2VecUtility,2,LOCAL,,
cryptography,2,,,
pygments,2,,,
wget,2,,,
fapws,2,,,
CONTENT_TYPE_FORM_URLENCODED,2,,,
werkzeug,2,,,
query,2,,,
ujson,2,,,
ez_setup,2,,,
OAuth1,2,,,
cgitb,2,,,
gettext,2,,,
rlcompleter,2,,,
xgboost,2,ML,Y,https://xgboost.readthedocs.io/en/latest/python/python_intro.html
loader,2,,,
OpenSSL,2,,,
responses,2,,,
classifier,2,,,
AuthorizationEndpoint,2,,,
lstm,2,LOCAL,,
requests_oauthlib,2,,,
future,2,,,
_collections,2,,,
ftplib,2,,,
lzma,2,,,
ftfy,2,,,
frog,2,NLP,,"https://github.com/proycon/python-frog - Python bindings to the dutch NLP tool Frog (pos tagger, lemmatiser, NER tagger, morphological analysis, shallow parser, dependency parser) "
_abcoll,2,,,
fractions,2,,,
common,2,,,
ws4py,2,,,
webapp2,2,,,
ra2616Test,2,,,Local module - https://github.com/rohanag/StockMarketSentimentAnalysis
maxent,2,,,
fabric,2,,,
py_compile,2,,,
cv2,2,,,
ntpath,2,,,
plac,2,,,
emoji,2,,,
pip,2,,,
